Id,MatchId,PlayerId,Average,CheckoutPercentage,Total180s,Total140s,HighestCheckout,LegsWon,SetsWon
325,163,145,81.13,29,2,7,105,5,null
326,163,146,87.48,33,1,8,160,6,null
327,164,102,88.35,25,0,4,84,1,null
328,164,86,99.94,60,3,4,63,6,null
329,165,108,76.20,24,1,2,116,6,null
330,165,131,77.02,35,0,5,67,4,null
331,166,147,75.20,20,0,2,32,2,null
332,166,148,84.73,43,1,6,100,6,null
333,167,167,80.98,20,3,4,117,3,null
334,167,168,85.05,33,0,7,67,6,null
335,168,151,86.36,30,2,2,32,3,null
336,168,152,95.64,43,3,4,72,6,null
337,169,149,91.70,46,0,7,104,6,null
338,169,150,81.94,22,1,3,96,2,null
339,170,171,87.30,25,3,3,76,4,null
340,170,172,86.01,46,1,4,88,6,null
341,171,93,93.94,43,1,4,78,6,null
342,171,132,77.25,0,1,3,0,0,null
343,172,170,82.66,20,2,3,32,3,null
344,172,95,85.48,35,1,0,64,6,null
345,173,133,77.80,31,0,4,127,4,null
346,173,177,85.03,32,0,4,108,6,null
347,174,79,79.97,30,0,4,60,6,null
348,174,166,78.04,12,1,4,32,2,null
349,175,136,96.81,50,2,7,88,6,null
350,175,137,90.34,30,4,6,86,3,null
351,176,138,85.29,20,1,3,68,2,null
352,176,139,85.79,50,0,2,96,6,null
353,177,173,90.06,32,3,8,73,6,null
354,177,174,83.26,29,1,4,72,4,null
355,178,155,76.63,11,1,1,32,1,null
356,178,156,86.45,43,0,4,98,6,null
357,179,225,84.32,31,0,3,74,4,null
358,179,121,92.15,35,1,5,167,6,null
359,180,101,78.97,0,0,3,0,0,null
360,180,169,93.94,60,2,5,76,6,null
361,181,135,88.88,31,1,4,74,4,null
362,181,99,92.47,33,3,5,32,6,null
363,182,153,77.66,9,0,3,32,1,null
364,182,154,80.72,35,2,2,68,6,null
365,183,159,84.66,32,1,5,32,6,null
366,183,160,84.75,36,1,7,82,5,null
367,184,161,95.97,55,1,3,152,6,null
368,184,105,84.09,14,2,3,32,1,null
369,185,140,79.40,46,1,5,156,6,null
370,185,141,83.88,33,1,4,114,3,null
371,186,72,97.94,50,2,7,140,6,null
372,186,83,98.13,42,2,7,100,5,null
373,187,70,86.55,32,3,7,88,6,null
374,187,134,82.58,29,1,6,32,5,null
375,188,165,88.08,40,3,1,132,6,null
376,188,176,88.31,40,5,3,32,5,null
377,189,87,88.76,43,0,8,99,6,null
378,189,94,87.57,31,2,8,120,5,null
379,190,98,88.75,33,3,3,78,6,null
380,190,80,90.29,29,1,7,120,5,null
381,191,84,75.51,22,1,0,133,2,null
382,191,127,85.53,38,1,2,32,6,null
383,192,74,91.12,43,3,3,81,6,null
384,192,148,86.98,25,1,8,96,3,null
385,193,76,91.33,28,2,7,105,5,null
386,193,66,94.22,35,4,4,83,6,null
387,194,172,82.77,18,2,8,76,2,null
388,194,97,84.75,43,0,4,130,6,null
389,195,96,87.21,50,1,7,96,6,null
390,195,100,83.25,17,2,2,110,2,null
391,196,117,87.57,19,3,4,32,3,null
392,196,152,91.69,33,3,4,105,6,null
393,197,85,88.90,40,0,7,116,6,null
394,197,177,88.10,24,3,5,84,4,null
395,198,158,92.45,20,3,4,32,2,null
396,198,95,101.37,50,3,5,121,6,null
397,199,154,87.00,33,6,2,90,4,null
398,199,156,94.06,35,6,4,170,6,null
399,200,77,87.74,30,1,10,147,6,null
400,200,67,88.58,27,3,10,32,4,null
401,201,68,89.81,38,2,9,95,6,null
402,201,99,88.44,33,1,11,106,5,null
403,202,90,94.19,50,4,5,86,6,null
404,202,130,90.77,31,2,4,92,4,null
405,203,139,80.79,14,1,7,32,2,null
406,203,168,78.37,43,0,4,103,6,null
407,204,161,88.95,40,4,5,70,6,null
408,204,81,78.47,20,2,2,135,1,null
409,205,149,82.74,38,0,4,32,6,null
410,205,73,79.24,20,1,5,32,2,null
411,206,64,87.03,14,1,4,32,1,null
412,206,146,101.02,55,3,4,100,6,null
413,207,69,82.35,10,1,4,81,1,null
414,207,108,82.00,55,1,4,81,6,null
415,208,60,88.55,40,0,3,89,6,null
416,208,95,89.61,21,1,9,120,3,null
417,209,25,96.84,43,5,5,112,6,null
418,209,51,92.88,30,4,5,81,3,null
419,210,173,93.86,50,6,10,60,6,null
420,210,143,92.87,50,0,9,116,5,null
421,211,121,82.74,29,0,5,97,4,null
422,211,82,78.92,33,3,5,90,6,null
423,212,89,91.53,31,3,5,98,4,null
424,212,93,90.08,43,1,6,82,6,null
425,213,169,90.59,33,0,8,80,3,null
426,213,92,99.97,46,3,5,107,6,null
427,214,71,90.87,20,0,4,71,1,null
428,214,86,93.92,46,1,5,111,6,null
429,215,59,90.37,50,3,6,161,5,null
430,215,38,91.88,43,2,9,92,6,null
431,216,175,83.93,33,1,7,87,5,null
432,216,140,90.22,27,3,8,32,6,null
433,217,46,94.23,60,1,5,95,6,null
434,217,63,89.72,11,1,6,32,1,null
435,218,78,95.28,40,5,4,116,6,null
436,218,159,93.09,20,3,6,32,3,null
437,219,164,87.76,20,0,4,116,1,null
438,219,136,91.41,55,3,3,130,6,null
439,220,90,79.40,29,0,5,96,5,null
440,220,96,82.60,32,2,6,110,6,null
441,221,36,93.56,43,2,9,64,6,null
442,221,39,89.48,29,3,8,32,4,null
443,222,127,87.26,23,3,5,120,3,null
444,222,91,92.24,43,1,8,119,6,null
445,223,33,98.12,35,6,9,70,6,null
446,223,66,95.20,38,2,6,81,5,null
447,224,41,85.83,0,1,4,0,0,null
448,224,53,98.02,67,3,3,86,6,null
449,225,72,86.26,28,2,6,170,5,null
450,225,65,92.03,33,3,6,93,6,null
451,226,58,98.92,40,3,9,94,6,null
452,226,44,98.08,36,7,7,142,5,null
453,227,70,92.71,36,2,7,32,4,null
454,227,50,91.87,46,0,7,110,6,null
455,228,47,98.06,55,4,6,123,6,null
456,228,146,96.55,33,3,8,61,4,null
457,229,31,96.96,50,1,6,112,6,null
458,229,79,99.34,38,0,8,82,3,null
459,230,45,98.83,46,2,4,32,6,null
460,230,40,100.94,63,6,4,120,5,null
461,231,165,82.10,25,1,6,32,3,null
462,231,61,88.22,33,2,7,60,6,null
463,232,78,95.96,23,2,7,96,3,null
464,232,56,94.61,40,2,11,62,6,null
465,233,74,85.29,19,0,3,88,3,null
466,233,156,87.18,33,1,7,76,6,null
467,234,54,90.09,25,0,8,60,3,null
468,234,149,91.31,40,2,6,134,6,null
469,235,92,87.85,40,3,5,70,6,null
470,235,77,88.09,19,2,3,32,3,null
471,236,152,87.02,29,2,4,104,5,null
472,236,55,87.02,35,1,9,104,6,null
473,237,57,92.84,50,1,7,128,6,null
474,237,173,93.75,31,1,10,108,4,null
475,238,49,97.95,33,0,10,95,4,null
476,238,68,99.00,38,3,11,160,6,null
477,239,35,86.51,38,3,5,32,6,null
478,239,168,84.44,33,2,2,32,4,null
479,240,62,93.40,50,1,5,120,6,null
480,240,82,82.96,25,2,2,100,1,null
481,241,42,100.24,55,2,7,167,6,null
482,241,136,85.96,25,2,3,96,2,null
483,242,48,86.51,44,2,6,32,4,null
484,242,93,89.55,55,2,6,85,6,null
485,243,98,90.34,60,2,7,132,6,null
486,243,140,92.52,25,3,10,32,4,null
487,244,79,85.35,35,0,5,110,6,null
488,244,88,81.64,33,1,3,33,71,4,null
489,245,97,89.40,40,1,3,170,6,null
490,245,108,87.54,29,0,5,89,4,null
491,246,43,91.33,22,1,6,66,2,null
492,246,161,96.28,60,3,5,82,6,null
493,247,31,85.86,32,1,9,70,6,null
494,247,62,93.86,42,2,12,143,10,null
495,248,15,96.10,53,2,7,118,10,null
496,248,27,85.73,17,1,5,32,2,null
497,249,25,97.41,45,3,15,170,10,null
498,249,28,88.95,38,5,7,76,6,null
499,250,37,83.05,32,3,9,125,9,null
500,250,91,86.46,31,4,9,121,10,null
501,251,30,92.86,20,5,3,32,4,null
502,251,34,95.50,56,2,7,126,10,null
503,252,61,91.46,40,1,11,121,10,null
504,252,87,87.84,29,1,11,117,6,null
505,253,13,85.36,38,5,6,126,10,null
506,253,45,89.27,32,3,12,129,9,null
507,254,6,97.86,59,6,11,121,10,null
508,254,11,100.07,23,5,10,91,3,null
509,255,36,96.98,30,7,11,100,7,null
510,255,47,98.06,40,6,11,142,10,null
511,256,20,92.53,40,6,12,153,10,null
512,256,85,92.25,32,3,12,83,7,null
513,257,23,95.10,59,5,14,126,10,null
514,257,38,90.13,29,2,4,93,5,null
515,258,60,87.99,21,2,8,32,4,null
516,258,18,97.12,36,8,9,86,10,null
517,259,46,92.67,32,3,12,121,10,null
